title,image_link,platform1,platform2,platform3,platform4,platform5,platform6
#killallzombies,unreleased,PS4\,PS3\,Switch\,XboxOne,na,na
10 Second Ninja X,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/10_Second_Ninja_X.jpg/220px-10_Second_Ninja_X.jpg,PS4\,XboxOne,na,na,na,na
100ft Robot Golf,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/100ft_Robot_Golf.jpg/220px-100ft_Robot_Golf.jpg,PS4,na,na,na,na,na
101 Ways to Die,unreleased,PS4,na,na,na,na,na
140,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/140_game_cover.svg/220px-140_game_cover.svg.png,PS4\,WiiU\,XboxOne,na,na,na
1001 Spikes,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/1001_Spikes_Videogame_Cover.jpg/220px-1001_Spikes_Videogame_Cover.jpg,PS4\,Switch\,WiiU\,XboxOne,na,na
13 Sentinels: Aegis Rim,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/13_Sentinels_logo.png/220px-13_Sentinels_logo.png,PS4,na,na,na,na,na
2064: Read Only Memories,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/2064_Read_Only_Memories_title.png/220px-2064_Read_Only_Memories_title.png,PS4\,XboxOne,na,na,na,na
20XX,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/20XX_%28video_game%29.jpg/220px-20XX_%28video_game%29.jpg,PS4\,Switch\,XboxOne,na,na,na
The 25th Ward: The Silver Case,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/The_25th_Ward.jpg/220px-The_25th_Ward.jpg,PS4,na,na,na,na,na
2Dark,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/2Dark.png/220px-2Dark.png,PS4\,XboxOne,na,na,na,na
428: Shibuya Scramble,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/428EnglishArt.png/220px-428EnglishArt.png,PS4\,PS3,na,na,na,na
7 Days to Die,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/7_Days_To_Die_cover_art.jpg/220px-7_Days_To_Die_cover_art.jpg,PS4\,XboxOne,na,na,na,na
8-bit Adventure Anthology: Volume I,unreleased,PS4\,XboxOne,na,na,na,na
8-Bit Armies,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/8-bit_Armies_Cover.jpg/220px-8-bit_Armies_Cover.jpg,PS4\,XboxOne,na,na,na,na
8-Bit Hordes,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Cover_of_the_Game_8-bit_Hordes_by_Petroglyph_Games.jpg/220px-Cover_of_the_Game_8-bit_Hordes_by_Petroglyph_Games.jpg,PS4\,XboxOne,na,na,na,na
8-Bit Invaders,unreleased,PS4\,XboxOne,na,na,na,na
88 Heroes,unreleased,PS4\,XboxOne,na,na,na,na
911 Operator,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/911_Operator_Video_Game_Artwork.png/220px-911_Operator_Video_Game_Artwork.png,PS4\,XboxOne,na,na,na,na
99Vidas,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/99_vidas.jpg/220px-99_vidas.jpg,PS4\,PS3\,Switch\,XboxOne,na,na
A-Train Express,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Atraincover.jpg/220px-Atraincover.jpg,PS4,na,na,na,na,na
Aaero,unreleased,PS4\,XboxOne,na,na,na,na
Aaru's Awakening,unreleased,PS4\,PS3\,XboxOne,na,na,na
A Boy and His Blob,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/A_Boy_and_His_Blob_%282009_video_game%29.jpg/220px-A_Boy_and_His_Blob_%282009_video_game%29.jpg,PS4\,PS3\,XboxOne,na,na,na
Absolute Drift: Zen Edition,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Absolute_drift_-_zen_edition.jpg/220px-Absolute_drift_-_zen_edition.jpg,PS4\,XboxOne,na,na,na,na
Absolver,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Absolver_logo.png/220px-Absolver_logo.png,PS4\,XboxOne,na,na,na,na
Abzû,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Abzu_logo.png/220px-Abzu_logo.png,PS4\,XboxOne,na,na,na,na
Ace Combat 7: Skies Unknown,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Ace_Combat_7_Skies_Unknown_game_cover.jpg/220px-Ace_Combat_7_Skies_Unknown_game_cover.jpg,PS4\,XboxOne,na,na,na,na
Achtung! Cthulhu Tactics,unreleased,PS4\,Switch\,XboxOne,na,na,na
Act It Out! A Game of Charades,unreleased,PS4\,WiiU,na,na,na,na
Action Henk,unreleased,PS4\,XboxOne,na,na,na,na
Adios Amigos,unreleased,PS4\,XboxOne,na,na,na,na
Adrift,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Adrift.png/220px-Adrift.png,PS4,na,na,na,na,na
The Adventure Pals,unreleased,PS4\,Switch\,XboxOne,na,na,na
Adventures of Pip,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Adventures_of_Pip_cover.png/220px-Adventures_of_Pip_cover.png,PS4\,WiiU\,XboxOne,na,na,na
Adventures of Scarlet Curiosity,unreleased,PS4,na,na,na,na,na
Adventure Time: Finn & Jake Investigations,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Adventure_Time_FaJI_WiiUboxart.png/220px-Adventure_Time_FaJI_WiiUboxart.png,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na
Aegis Defenders,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Aegis_Defenders.jpg/220px-Aegis_Defenders.jpg,PS4\,Switch,na,na,na,na
Aegis of Earth: Protonovus Assault,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Aegis_of_Earth_Vita_cover_art.jpg/220px-Aegis_of_Earth_Vita_cover_art.jpg,PS4\,PS3,na,na,na,na
AER: Memories of Old,unreleased,PS4\,XboxOne,na,na,na,na
AeternoBlade,unreleased,PS4\,Switch\,XboxOne,na,na,na
AFL Evolution,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/AFL_Evolution_Cover.jpg/220px-AFL_Evolution_Cover.jpg,PS4\,XboxOne,na,na,na,na
Agatha Christie: The ABC Murders,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Agatha_christie_abc_2016.jpg/220px-Agatha_christie_abc_2016.jpg,PS4\,XboxOne,na,na,na,na
Agents of Mayhem,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Agents_of_Mayhem_box_art.png/220px-Agents_of_Mayhem_box_art.png,PS4\,XboxOne,na,na,na,na
Agony,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Agony_2017_pre-release_Steam.jpg/220px-Agony_2017_pre-release_Steam.jpg,PS4,na,na,na,na,na
A Hat in Time,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/A_Hat_in_Time_logo.png/220px-A_Hat_in_Time_logo.png,PS4\,Switch\,XboxOne,na,na,na
A Healer Only Lives Twice,unreleased,PS4,na,na,na,na,na
AIPD,unreleased,PS4\,XboxOne,na,na,na,na
Air Conflicts: Pacific Carriers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflict_Pacific_Carrier_cover_artwork.png/220px-Air_Conflict_Pacific_Carrier_cover_artwork.png,PS4\,PS3\,Switch\,Xbox360,na,na
Air Conflicts: Vietnam,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflicts_Vietnam_box_art.jpg/220px-Air_Conflicts_Vietnam_box_art.jpg,PS4\,PS3\,Xbox360,na,na,na
Airship Q,unreleased,PS4,na,na,na,na,na
AI: The Somnium Files,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/AI_The_Somnium_Files.png/220px-AI_The_Somnium_Files.png,PS4\,Switch,na,na,na,na
Akiba's Beat,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/AkibasBeat.jpg/220px-AkibasBeat.jpg,PS4,na,na,na,na,na
Akiba's Trip: Undead & Undressed,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Akiba%27s_Trip_2_Cover.jpg/220px-Akiba%27s_Trip_2_Cover.jpg,PS4\,PS3,na,na,na,na
Alaloth: Champions of The Four Kingdoms,unreleased,PS4\,XboxOne,na,na,na,na
Alekhine's Gun,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Alekhines_gun_cover.jpg/220px-Alekhines_gun_cover.jpg,PS4\,XboxOne,na,na,na,na
Alienation,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Alienation_video_game_logo.png/220px-Alienation_video_game_logo.png,PS4,na,na,na,na,na
Alien: Isolation,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Alien_Isolation.jpg/220px-Alien_Isolation.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na
The Alliance Alive HD Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Alliance_Alive_cover_art.jpg/220px-Alliance_Alive_cover_art.jpg,PS4\,Switch,na,na,na,na
Alone with You,unreleased,PS4,na,na,na,na,na
Alwa's Awakening,unreleased,PS4,na,na,na,na,na
