game_title,score,ups,downs
#killallzombies,62,62,0
10 Second Ninja X,3147,3147,0
100ft Robot Golf,0,0,0
101 Ways to Die,2159,2159,0
140,366,366,0
1001 Spikes,110,110,0
13 Sentinels: Aegis Rim,179,179,0
2064: Read Only Memories,188,188,0
20XX,624,624,0
The 25th Ward: The Silver Case,21,21,0
2Dark,112,112,0
428: Shibuya Scramble,38,38,0
7 Days to Die,381,381,0
8-bit Adventure Anthology: Volume I,0,0,0
8-Bit Armies,46,46,0
8-Bit Hordes,149,149,0
8-Bit Invaders,157,157,0
88 Heroes,4922,4922,0
911 Operator,17836,17836,0
99Vidas,1,1,0
A-Train Express,1599,1599,0
Aaero,101,101,0
Aaru's Awakening,0,0,0
A Boy and His Blob,781,781,0
Absolute Drift: Zen Edition,5,5,0
Absolver,483,483,0
Abzû,425,425,0
Ace Combat 7: Skies Unknown,1085,1085,0
Achtung! Cthulhu Tactics,0,0,0
Act It Out! A Game of Charades,948,948,0
Action Henk,104,104,0
Adios Amigos,12056,12056,0
Adrift,1869,1869,0
The Adventure Pals,380,380,0
Adventures of Pip,1565,1565,0
Adventures of Scarlet Curiosity,1,1,0
Adventure Time: Finn & Jake Investigations,8,8,0
Aegis Defenders,395,395,0
Aegis of Earth: Protonovus Assault,0,0,0
AER: Memories of Old,98,98,0
AeternoBlade,93,93,0
AFL Evolution,131,131,0
Agatha Christie: The ABC Murders,128,128,0
Agents of Mayhem,577,577,0
Agony,1006,1006,0
A Hat in Time,8273,8273,0
A Healer Only Lives Twice,307,307,0
AIPD,1,1,0
Air Conflicts: Pacific Carriers,145,145,0
Air Conflicts: Vietnam,623,623,0
Airship Q,1702,1702,0
AI: The Somnium Files,1835,1835,0
Akiba's Beat,211,211,0
Akiba's Trip: Undead & Undressed,28,28,0
Alaloth: Champions of The Four Kingdoms,57,57,0
Alekhine's Gun,277,277,0
Alienation,6596,6596,0
Alien: Isolation,1434,1434,0
The Alliance Alive HD Remastered,806,806,0
Alone with You,317,317,0
Alwa's Awakening,115,115,0
Always Sometimes Monsters,4370,4370,0
Amazing Discoveries in Outer Space,1682,1682,0
The Amazing Spider-Man 2,2464,2464,0
American Fugitive,773,773,0
Amnesia: Collection,507,507,0
Among the Sleep,5401,5401,0
Amplitude,2035,2035,0
Anamorphine,0,0,0
Anarcute,4,4,0
Ancestors,1564,1564,0
Anew: The Distant Light,519,519,0
AngerForce: Reloaded,375,375,0
Angry Birds Star Wars,787,787,0
Anodyne,878,878,0
Anoko wa Ore kara Hanarenai,0,0,0
Anomaly 2,5122,5122,0
Anonymous;Code,11095,11095,0
Another World: 20th Anniversary Edition,549,549,0
Anthem,1000,1000,0
Antiquia Lost,53,53,0
AO Tennis,443,443,0
A Pixel Story,2088,2088,0
A Plague Tale: Innocence,790,790,0
Apotheon,381,381,0
Aqua Moto Racing Utopia,553,553,0
Aragami,185,185,0
Arcade Archives: A-Z,0,0,0
Arcania: The Complete Tale,2,2,0
Ark: Survival Evolved,785,785,0
Armello,888,888,0
Art of Balance,9595,9595,0
Asemblance,15,15,0
Ashen Rift,95,95,0
Ashes Cricket,513,513,0
Assassin's Creed III Remastered,757,757,0
Assassin's Creed IV: Black Flag,1731,1731,0
Assassin's Creed Chronicles: China,185,185,0
Assassin's Creed Chronicles: India,59,59,0
Assassin's Creed Chronicles: Russia,77,77,0
Assassin's Creed: The Ezio Collection,1228,1228,0
Assassin's Creed Odyssey,1001,1001,0
Assassin's Creed: Origins,762,762,0
Assassin's Creed Rogue Remastered,341,341,0
Assassin's Creed Syndicate,1431,1431,0
Assassin's Creed Unity,1670,1670,0
Assault Android Cactus,380,380,0
Assault Suit Leynos,0,0,0
The Assembly,1202,1202,0
Assetto Corsa,1887,1887,0
Atari Flashback Classics: Volume 1,0,0,0
Atari Flashback Classics: Volume 2,0,0,0
Atari Flashback Classics: Volume 3,0,0,0
Atelier Firis: The Alchemist and the Mysterious Journey,11,11,0
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting,6,6,0
Atelier Sophie: The Alchemist of the Mysterious Book,66,66,0
Attack on Titan,4068,4068,0
Attack on Titan 2,3793,3793,0
Attractio,109,109,0
ATV Drift & Tricks,0,0,0
Aven Colony,752,752,0
Away: Journey to the Unexpected,3071,3071,0
A Way Out,166,166,0
Awesomenauts Assemble,7,7,0
Axiom Verge,11458,11458,0
Aztez,0,0,0
Backgammon Blitz,0,0,0
Back to Bed,231,231,0
Back to the Future: The Game – 30th Anniversary Edition,52,52,0
Badass Hero,2927,2927,0
Badland: Game of the Year Edition,49,49,0
Bad North,2628,2628,0
Baja: Edge of Control HD,3,3,0
Baldur's Gate: Enhanced Edition,244,244,0
Baldur's Gate II: Enhanced Edition,163,163,0
Baldur's Gate: Siege of Dragonspear,86,86,0
The Banner Saga,742,742,0
The Banner Saga 2,745,745,0
The Bard's Tale IV: Barrows Deep,45,45,0
Bastion,953,953,0
Basement Crawl,2732,2732,0
Batman: Arkham Knight,633,633,0
Batman: Return to Arkham,755,755,0
Batman: The Telltale Series,101,101,0
Batman: The Enemy Within,615,615,0
Battalion 1944,1281,1281,0
Battlefield 1,754,754,0
Battlefield 4,769,769,0
Battlefield V,536,536,0
Battlefield Hardline,46757,46757,0
Battle Garegga Rev.2016,7,7,0
Battleship,4302,4302,0
Battlestar Galactica: Deadlock,709,709,0
Battle Worlds: Kronos,217,217,0
Bears Can't Drift!?,5569,5569,0
Beast Quest,5461,5461,0
Beat the Game,325,325,0
Bendy and the Ink Machine,325,325,0
Berserk and the Band of the Hawk,205,205,0
Beyond Eyes,6425,6425,0
Beyond: Two Souls,6965,6965,0
Big Bash Boom,84,84,0
Binaries,1281,1281,0
The Binding of Isaac: Rebirth,84,84,0
Biomutant,1278,1278,0
BioShock: The Collection,823,823,0
Birthdays the Beginning,4221,4221,0
Bit.Trip,1977,1977,0
Black & White Bushido,61,61,0
Black the Fall,1743,1743,0
Black Desert Online,624,624,0
Blackguards 2,884,884,0
Blackhole: Complete Edition,118,118,0
Blackwood Crossing,133,133,0
Blade Arcus from Shining EX,5,5,0
Blade Ballet,689,689,0
Blade Strangers,14525,14525,0
Bladestorm: Nightmare,0,0,0
Blasting Agent: Ultimate Edition,13,13,0
BlazBlue: Central Fiction,106,106,0
BlazBlue: Chrono Phantasma Extend,0,0,0
BlazBlue: Cross Tag Battle,841,841,0
Bleed,651,651,0
Bleed 2,598,598,0
Bloodborne,1314,1314,0
Blood Bowl 2,2143,2143,0
Bloodstained: Ritual of the Night,305,305,0
Bloons TD 5,788,788,0
Blue Estate,4355,4355,0
Blue Reflection,2539,2539,0
Blue Rider,2526,2526,0
Blues and Bullets,2405,2405,0
Boiling Bolt,2570,2570,0
Bomber Crew,7308,7308,0
The Book of Unwritten Tales 2,135,135,0
Borderlands: The Handsome Collection,2449,2449,0
Bound,434,434,0
Bound by Flame,3166,3166,0
Boundless,16761,16761,0
Brawl,894,894,0
Brawlout,227,227,0
The Bridge,765,765,0
Bridge Constructor Portal,669,669,0
Broforce,492,492,0
Broken Age: The Complete Adventure,821,821,0
Broken Sword 5: The Serpent's Curse,165,165,0
Brothers: A Tale of Two Sons,4630,4630,0
Brutal,2469,2469,0
Bubsy: Paws on Fire!,146,146,0
Bubsy: The Woolies Strike Back,6,6,0
The Bug Butcher,1158,1158,0
BugsBox,1932,1932,0
Buildings Have Feelings Too!,10469,10469,0
Bulletstorm: Full Clip Edition,33,33,0
Burnout Paradise Remastered,309,309,0
Bush Hockey League,0,0,0
Butcher,3231,3231,0
Caladrius Blaze,88,88,0
The Caligula Effect: Overdose,1023,1023,0
Call of Cthulhu,1801,1801,0
Call of Duty: Advanced Warfare,652,652,0
Call of Duty: Black Ops III,527,527,0
Call of Duty: Black Ops IIII,93,93,0
Call of Duty: Ghosts,1250,1250,0
Call of Duty: Infinite Warfare,1865,1865,0
Call of Duty: Modern Warfare Remastered,6085,6085,0
Call of Duty: WWII,1319,1319,0
Calvino Noir,0,0,0
Candlelight,1939,1939,0
Candleman: The Complete Journey,0,0,0
Cannon Brawl,698,698,0
Capsule Force,1887,1887,0
Carmageddon: Max Damage,106,106,0
Cars 3: Driven to Win,148,148,0
Car Mechanic Simulator 2018,67,67,0
Cartoon Network: Battle Crashers,5,5,0
Castle Crashers: Remastered,8981,8981,0
The Castle Game,5635,5635,0
Castles,740,740,0
CastleStorm: Definitive Edition,102,102,0
