,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
0,1871355734,Lemonade,"[' 3+ years working as a data scientist (preferably for a startup)', ' MSc+ in Statistics, Computer Science, Mathematics or equivalent practical experience', ' Writes Python, R code', ' All around team player, fast, and self-learning individual', ' Passion for data', ' Knowledge of relational and NoSQL databases', ' Smart, problem solver', ' Loves getting shit done!', ' Experience working on high-scale, production-grade projects']",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
1,1878131413,PayPal,"[' DO: Capitalize first letter of First and Last Name. Example: John Smith ',  DON'T: Capitalize entire First and/or Last Name. Example: JOHN SMITH """," "" NOTE: Use correct grammar for Names with multiple cases. Example: McDonald or O'Connell""",empty,empty, 'Develop loss forecasts for global credit products leveraging internal performance data and various macroeconomic inputs', 'Conduct regular stress testing to ensure portfolio maintains minimum profitability measures', 'Participate in monthly/quarterly reserve setting process with Finance and Accounting', 'Monitor global portfolio performance to ensure its within PayPal’s Credit Risk Appetite', 'Partner with Operations to conceive, design & monitor strategies to improve credit losses', 'Leverage internal and external data to enhance existing models and business rules', 'Analyze portfolio trends to deliver strategic loss forecasting insights', 'Communicate concise and actionable business strategies to Executive team',empty,empty, 'Bachelor’s degree in Mathematics, Statistics, Operations Research, Finance, Economics or related quantitative discipline. ', '5+ years of proven Risk and Collections experience in Financial Services, Payment Transactions or other financial related industry', 'Analytical and project management experience', 'Excel and spreadsheet analysis', 'Handling and building complex formulas in Excel spreadsheet', 'Risk Management', 'Collections strategy', 'Statistical analysis', 'Loss modeling', 'Building complex forecasting model using advanced Excel functions', 'SAS (R or Python) and SQL skills to be able to run data queries and research risk strategy and collections impacts', 'Using PowerPoint for management communications and broad organizational readouts', 'Any suitable combination of education, training and experience is acceptable.',empty," ]""",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
2,1877060336,Simply Biotech,[Amanda Jones, , Amanda JonesStaffing Manager at TalentZök, 'PhD in a quantitative field in the natural or social sciences e.g. statistics, economics, genetics, political science, etc.', 'Significant experience in R or Python', 'Proficiency working in Linux environment', 'Strong fundamentals in machine learning', 'Expertise in applied statistics', 'Experience working with datasets that cannot fit in a typical personal computer’s memory', 'Proficiency writing high-quality code, using version control, and maintaining documentation', 'Ability to communicate and collaborate with an inter-disciplinary team', 'Ability to translate business-level objectives to data science objectives', 'Experience with clinical or biological data e.g. genomics, proteomics, imaging, EMR', 'Experience with association studies in biological domains e.g. GWAS'," 'Experience with study designs for assessing diagnostic tests']""",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
3,1870586592,The HT Group,"['Proven track record of highlighting growth opportunities with actionable insights and predictive analytics in the eCommerce industry ', 'Ability to present complex analyses and insights effectively to non-technical staff, stakeholders and customers, both internal and external ', 'Experience with descriptive and inferential statistics and building basic prototype models ', 'Proactive collaboration and effective communication skills ', 'Experience with PostgreSQL 9+ and knowledge of SQL queries required ', 'Experience with Amazon Quicksights, Amazon Forecast, Big Data, and ETL highly preferred ', 'Bachelor’s degree in economics, statistics or other related vertical ', 'Global eCommerce and wholesale experience highly preferred']",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
4,1881574503,Wish,"['Apply statistics techniques to improve Wish’s experimentation platform and process. ', 'Apply economics methodologies to understand and improve Wish’s two-sided marketplace.', 'Apply optimization techniques to improve Wish’s logistics and overall user experiences. ', 'Apply machine learning techniques to improve Wish’s product and operation.', , , 'Advanced degree in a quantitative field.', 'A minimum of 3 years of Data Science experience in technology or research industry.', 'Proficient in Python or R', , , 'Demonstrated track record of successful projects in applying quantitative techniques to improve a product or business.', '5+ years work experience in technology or research industry.', 'Domain expert in one of the fields: statistics, machine learning, optimization, and economics.', , ]",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
5,1857258447,TBWA\Chiat\Day,"['Big picture thinking and attention to detail to solve problems/help teams make decisions/find insights', 'Perform extraction and interrogation of data sets from multiple platforms and perform hygiene and quality control steps. Data sources will include: web analytic tools, media analytics, customer databases, social listening tools, search tools, syndicated data, research & survey tools, etc.', 'Derive key findings and observations from analyzing various data sources, and together with more senior analytics staff, communicate those findings orally or in writing, primarily to internal agency team.', 'Develop a picture of the customer leveraging data from 3rd party data sources.', 'Stay abreast of industry trends, best practices, and the evolving analytics landscape.', 'Put together slides with findings and insights that are communicated to cross functional teams.', '3-5 years experience with programming languages such as R, Python, SQL, etc.', 'Advanced skills in Excel functions: Pivots, advanced formulas/macros, multi-spreadsheet links.', 'Competency in analytic techniques such as: time series data analysis, segmentation, univariate & multivariate statistical analysis, various metrics and key performance indicators, research & test design, significance testing, variance and growth calculations, forecasting, return on investment.', 'Working knowledge of data visualization tools, such as Shiny, Tableau or Power BI.', 'Strong written and verbal communication skills.', '2-4 years of work experience in marketing analytics or related fields such as advertising, direct marketing, online marketing, loyalty marketing, using data to solve complex Marketing problems.', 'Basic knowledge of marketing/advertising/research principles.\\']",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
6,1877467653,Beyondsoft,"['Developing and evaluating Machine Learning models for different business purposes ', 'Ensuring data quality throughout all stages of acquisition and processing, including data sourcing/collection, ground truth generation, normalization, and transformation. ', 'Auditing metrics data and success criteria. ', 'Work with engineers to develop efficient data querying infrastructure for both offline and online use cases ', '5+ years of experience with machine learning, deep learning, statistical modeling, data mining, and analytics techniques. ', Bachelor or Master's degree in highly quantitative field (CS", machine learning, mathematics," statistics) or equivalent experience. """, 'Experience in SVM, Tensorflow, Pytorch, jupyter, Spark/Scala and other statistical/machine learning software. ', 'Strong understanding of relational databases and a high-degree of technical proficiency with SQL and a data visualization tool such as Tableau or Power BI. ', 'Experience applying various machine learning techniques, and understanding the key parameters that affect their performance. ', 'Experience developing experimental and analytic plans for data modeling processes, use of strong baselines, and the ability to accurately determine cause and effect relationships. ', 'Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc. ', 'Experience in one or more machine learning or deep learning topics as a plus: CV, NLP, RL, etc. ', 'Previous experience in a ML or data scientist role. '," 'Previous experience in the wireless industry ']""",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
7,1887340688,Notion,"[' Work on a product people love that solves real problems: Your friends and family can use Notion to take notes, display photos, collect recipes — while Fortune 500 companies use it to run huge teams (and some non-profits use it to conserve wildlife).',  Help define what data means at Notion: As the first hire working full-time on data at Notion", you'll have outsized influence on what data infrastructure, data analysis," and data team structure look like as we grow the business."""," "" Join us at a magical time: We've hit profitability and product-market fit"," which gives us a huge green field to work with. You'd join at the perfect time to shape what we build and how we grow.""",empty,empty," ""You'll build models to predict things like conversion and likelihood of churn."""," ""You'll build and maintain KPI dashboards that teams rely on for making key decisions."""," ""You'll collaborate with team leads across the business to understand and support their data needs."""," ""You'll build and improve our underlying data infrastructure and tooling. (We currently use DBT", Snowflake, Mode Analytics, Fivetran, Census, Amplitude, Segment," and more)."""," ""You've spent meaningful time as a senior data scientist — or even better"," you've previously managed a team (there's opportunity to do that here).""", 'You have experience building predictive statistical and machine learning models, and you can build reproducible backtests for proposed models to demonstrate their effectiveness.', 'You have experience building out data infrastructure which facilitates speed, reliability, and scalability.', 'You are a SQL expert. You have no problem regularly leveraging window functions, UDFs, self-joins, and other complex SQL functions to accomplish your data analysis goals.', 'You have a bias for using the right tools to get a job done with maximum efficiency. You are an expert at making tradeoffs between speed and accuracy.'," 'You have strong product sense and user intuition which inform the questions you ask of the data you are analyzing.']""",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
8,1862640109,Afiniti,[Bully Garayal, , Bully Garayal, 'Experience with data mining, queuing theory, probability, statistics, optimization, and/or simulation. ', 'Familiarity with data manipulation and analysis tools such as: SQL, R, Python, Matlab, SAS, or SPSS for analysis of data ', 'Predictive modeling and algorithm development ', 'Client engagement (face of AI to client) ', 'Motivated self-starter with a desire to develop solutions for the data analytics space using cutting edge computing technology ', 'Proven requirements analysis and problem-solving capabilities ', 'Success working collaboratively in a team environment ', 'Knowledge of an object-oriented language, including C++, C#, JavaScript, etc. for application development of internal tools used to build and analyze models ', 'Foreign languages. ', 'Bachelor’s Degree in Statistics, Mathematics, CS, , Systems Engineering, or a related field '," 'MS degree or higher preferred. ']""",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
9,1885580098,Sanofi,"['Applying AI/ML for modeling and embedding of data plus performing tasks such as classification, clustering, prediction, generation, relationship discovery, and causal inference. ', 'Close interactions with data engineers, subject matter experts (SMEs), and business stakeholders ', 'Update and report relevant results to interdisciplinary project teams and stakeholders', 'Maintain a keen awareness of recent developments in data science and cloud computing infrastructures and state-of-the-art of AI/ML/DL algorithms and research results', 'Active engagement in evaluation and coordination of both academic and startup collaborations', , , 'A PhD or MS degree in Data Science, Computer Science, Engineering Sciences, Applied Mathematics, and Physics with an emphasis on machine learning and deep learning', '0-3 year(s) of industry experience with a strong record of accomplishments and project experience in applications of AI/ML ', , , 'Familiarity with Deep Learning, neural network architectures including CNNs, RNNs, Embeddings, Transfer Learning, Attention-based Networks, Statistical Learning, Restricted Boltzmann Machines (RBMs), Belief Networks, and Reinforcement Learning.', 'Familiarity with Data Visualization tools/libraries and dimensionality reduction algorithms', 'Proficient in Python, SQL, and NoSQL databases', 'Familiarity with some of deep learning libraries such as Keras, TensorFlow, PyTorch, NLTK, Gensim, SpaCy, OpenCV', 'The ability to work with APIs and multi-GPU machines on the cloud', 'A change agent with a combination of business, science & technology, and diplomatic skills', , ]",empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
